School_ID,Year,Avg_Attendance_Pct,NAPLAN_Score_Avg
2041,2024,91.5,500
2042,2022,88.3,509
2042,2023,92.5,523
2042,2024,90.2,524
2043,2022,95.5,539
2043,2023,94.4,545
2043,2024,95.0,544
2044,2022,94.8,537
2044,2023,97.5,540
2044,2024,97.9,541
2045,2022,96.1,536
2045,2023,94.4,549
2045,2024,95.5,539
2046,2022,92.9,527
2046,2023,89.7,535
2046,2024,92.2,480
2047,2022,88.8,536
2047,2023,90.6,516
2047,2024,88.8,495
2048,2022,89.9,518
2048,2023,90.8,511
2048,2024,92.1,529
2049,2022,83.6,530
2049,2023,83.6,523
2049,2024,82.1,515
2050,2022,84.7,535
2050,2023,81.4,524
2050,2024,80.2,530
2051,2022,94.3,535
2051,2023,96.4,537
2051,2024,96.0,534
2052,2022,95.6,531
2052,2023,95.1,533
2052,2024,96.0,530
2053,2022,84.2,527
2053,2023,79.1,527
2053,2024,80.7,517
2054,2022,84.7,533
2054,2023,79.6,549
2054,2024,80.6,536
2055,2022,85.0,536
2055,2023,80.9,527
2055,2024,81.5,
2056,2022,92.9,516
2056,2023,92.9,527
2056,2024,89.9,534
2057,2022,89.0,529
2057,2023,89.4,527
2057,2024,92.6,522
2058,2022,97.4,544
2058,2023,94.6,532
2058,2024,94.1,543
2059,2022,84.5,522
2059,2023,79.1,520
2059,2024,79.9,532
2060,2022,89.8,515
2060,2023,90.7,534
2060,2024,91.3,523
2061,2022,88.2,518
2061,2023,91.7,513
2061,2024,91.2,524
2062,2022,88.1,525
2062,2023,92.0,526
2062,2024,91.9,512
2063,2022,96.0,546
2063,2023,98.0,549
2063,2024,95.5,546
2064,2022,83.1,527
2064,2023,81.9,526
2064,2024,82.9,518
2065,2022,88.2,518
2065,2023,89.5,524
2065,2024,90.9,528
2066,2022,89.5,529
2066,2023,90.9,535
2066,2024,92.9,
2067,2022,90.3,529
2067,2023,90.2,524
2067,2024,93.0,527
2068,2022,91.0,518
2068,2023,92.1,517
2068,2024,93.0,530
2069,2022,91.7,515
2069,2023,90.3,538
2069,2024,89.3,487
2070,2022,94.6,547
2070,2023,95.2,546
2070,2024,96.7,540
2071,2022,92.5,531
2071,2023,89.5,519
2071,2024,92.8,
2072,2022,91.7,
2072,2023,92.6,521
2072,2024,92.1,
2073,2022,89.7,526
2073,2023,92.1,526
2073,2024,92.2,520
2074,2022,90.8,531
2074,2023,89.0,523
2074,2024,91.1,531
2075,2022,92.5,521
2075,2023,89.4,528
2075,2024,92.4,520
2076,2022,89.2,528
2076,2023,91.5,520
2076,2024,89.5,
2077,2022,95.3,541
2077,2023,96.7,534
2077,2024,94.2,530
2078,2022,89.3,523
2078,2023,90.0,529
2078,2024,92.1,523
2079,2022,82.8,542
2079,2023,79.2,544
2079,2024,82.6,
2080,2022,92.2,533
2080,2023,89.3,524
2080,2024,91.7,489
2081,2022,96.4,544
2081,2023,94.3,546
2081,2024,97.1,543
2082,2022,97.1,540
2082,2023,96.2,530
2082,2024,97.3,550
2083,2022,91.8,522
2083,2023,90.5,520
2083,2024,88.6,526
2084,2022,97.4,531
2084,2023,97.0,530
2084,2024,94.6,548
2085,2022,94.6,543
2085,2023,96.9,547
2085,2024,97.0,545
2086,2022,96.7,534
2086,2023,97.2,536
2086,2024,96.5,549
2087,2022,88.8,525
2087,2023,91.3,
2087,2024,88.0,535
2088,2022,88.6,534
2088,2023,91.4,527
2088,2024,92.9,526
2089,2022,89.0,530
2089,2023,92.1,
2089,2024,92.9,536
2090,2022,94.3,541
2090,2023,97.7,541
2090,2024,95.1,534
2091,2022,84.0,534
2091,2023,84.0,547
2091,2024,79.8,547
2092,2022,97.2,529
2092,2023,94.7,548
2092,2024,97.3,535
2093,2022,89.1,527
2093,2023,89.4,528
2093,2024,92.4,524
2094,2022,96.1,543
2094,2023,94.6,530
2094,2024,95.7,540
2095,2022,90.8,528
2095,2023,91.6,522
2095,2024,88.6,525
2096,2022,89.5,512
2096,2023,88.8,526
2096,2024,92.2,523
2097,2022,95.9,539
2097,2023,95.1,548
2097,2024,96.1,530
2098,2022,97.3,550
2098,2023,96.6,541
2098,2024,96.4,536
2099,2022,80.5,
2099,2023,83.8,518
2099,2024,78.9,533
2100,2022,91.7,524
2100,2023,89.4,519
2100,2024,89.9,522
2101,2022,91.3,523
2101,2023,92.9,512
2101,2024,92.2,
2102,2022,88.5,526
2102,2023,88.7,529
2102,2024,90.8,516
2103,2022,92.7,531
2103,2023,89.7,529
2103,2024,92.5,513
2104,2022,90.9,517
2104,2023,88.4,521
2104,2024,91.7,528
2105,2022,88.4,519
2105,2023,89.8,518
2105,2024,89.1,516
2106,2022,97.1,546
2106,2023,97.5,545
2106,2024,97.9,530
2107,2022,91.0,522
2107,2023,92.2,517
2107,2024,92.6,494
2108,2022,92.2,521
2108,2023,91.4,531
2108,2024,90.4,528
2109,2022,96.5,533
2109,2023,95.0,548
2109,2024,98.0,549
2110,2022,96.3,
2110,2023,95.0,540
2110,2024,95.0,531
2111,2022,83.3,531
2111,2023,81.7,516
2111,2024,83.0,527
2112,2022,92.4,516
2112,2023,92.2,529
2112,2024,92.8,517
2113,2022,97.2,547
2113,2023,94.4,539
2113,2024,95.1,
2114,2022,88.0,520
2114,2023,92.1,516
2114,2024,88.9,526
2115,2022,90.2,522
2115,2023,91.4,528
2115,2024,91.8,
2116,2022,89.2,531
2116,2023,90.0,525
2116,2024,88.9,511
2117,2022,84.5,524
2117,2023,79.6,519
2117,2024,78.3,523
2118,2022,81.7,517
2118,2023,79.9,527
2118,2024,82.9,519
2119,2022,97.0,538
2119,2023,95.6,535
2119,2024,96.3,547
